nan,nan
nan,nan
nan,nan
nan,nan
-16.2337513,nan
-19.11307716,nan
-20.96159363,nan
-23.95555878,nan
-26.78271675,nan
-29.49345207,nan
-30.71405983,nan
-32.36513901,nan
-34.69059372,nan
-36.76462173,nan
-39.4797287,nan
-41.23415756,nan
-41.38087463,nan
-42.6909523,nan
-44.42420578,nan
-46.88321304,nan
-49.76460648,nan
-52.51053238,nan
-54.53295517,nan
-56.40991592,nan
-59.24673843,nan
-63.04074097,nan
-66.49654388,nan
-69.24830627,nan
-71.62430573,nan
-73.7999649,nan
-77.44411469,nan
-80.65340424,nan
-82.35495758,nan
-84.13288879,nan
-84.72992706,nan
-86.3974762,nan
-81.09860992,nan
-82.45508575,nan
-88.67341614,nan
-94.85315704,nan
-102.6987839,nan
-106.1758423,nan
-108.8199387,nan
-110.6306992,nan
-112.1189652,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,-131.5610962
nan,-134.4893188
nan,-136.7931824
nan,-139.0028839
nan,-140.4545898
nan,-142.8146515
nan,-145.5348816
nan,-148.0294037
nan,-150.1929321
nan,-152.5683594
nan,-154.5915833
nan,-156.9198151
nan,-158.7936249
nan,-161.3419342
nan,-163.6770935
nan,-165.5749512
nan,nan
